Episode 1 Step 25: Training Loss nan, Return 9.0
Episode 368 Step 500: Training Loss 3.0088908672332764, Return 500.0
Episode 369 Step 500: Training Loss 3.7265238761901855, Return 500.0
Episode 370 Step 199: Training Loss 3.6031644344329834, Return 500.0
Episode 371 Step 500: Training Loss 3.3393988609313965, Return 500.0
Episode 372 Step 500: Training Loss 3.279669761657715, Return 500.0
Episode 373 Step 500: Training Loss 3.179291009902954, Return 401.0
Episode 374 Step 500: Training Loss 3.5142769813537598, Return 500.0
Episode 375 Step 500: Training Loss 2.9539475440979004, Return 184.0
Episode 376 Step 479: Training Loss 2.8142499923706055, Return 413.0
Episode 377 Step 500: Training Loss 2.9729087352752686, Return 408.0
Episode 378 Step 405: Training Loss 2.973139524459839, Return 228.0
Episode 379 Step 406: Training Loss 3.151252269744873, Return 500.0
Episode 380 Step 439: Training Loss 2.6819145679473877, Return 431.0
Episode 381 Step 361: Training Loss 2.4727983474731445, Return 362.0
Episode 382 Step 357: Training Loss 2.6623778343200684, Return 499.0
Episode 383 Step 365: Training Loss 2.6622626781463623, Return 407.0
Episode 384 Step 442: Training Loss 2.435610055923462, Return 497.0
Episode 385 Step 241: Training Loss 2.346064329147339, Return 462.0
Episode 386 Step 340: Training Loss 2.7859878540039062, Return 338.0
Episode 387 Step 397: Training Loss 1.7286659479141235, Return 247.0
Episode 388 Step 500: Training Loss 2.4458024501800537, Return 302.0
Episode 389 Step 500: Training Loss 1.9021810293197632, Return 334.0
Episode 390 Step 277: Training Loss 2.3738303184509277, Return 247.0
Episode 391 Step 380: Training Loss 1.9448844194412231, Return 409.0
Episode 392 Step 375: Training Loss 2.1801607608795166, Return 253.0
Episode 393 Step 242: Training Loss 2.2929582595825195, Return 420.0
Episode 394 Step 389: Training Loss 1.6909611225128174, Return 450.0
Episode 395 Step 370: Training Loss 1.959459900856018, Return 444.0
Episode 396 Step 448: Training Loss 1.6813284158706665, Return 410.0
Episode 397 Step 381: Training Loss 1.948786973953247, Return 443.0
Episode 398 Step 470: Training Loss 1.638419508934021, Return 295.0
Episode 399 Step 408: Training Loss 1.798398733139038, Return 500.0
Episode 400 Step 391: Training Loss 2.0799028873443604, Return 418.0
Episode 401 Step 425: Training Loss 1.3141872882843018, Return 206.0
Episode 402 Step 455: Training Loss 1.654757022857666, Return 429.0
Episode 403 Step 429: Training Loss 1.4008188247680664, Return 440.0
Episode 404 Step 475: Training Loss 1.5270808935165405, Return 456.0
Episode 405 Step 472: Training Loss 1.4731286764144897, Return 477.0
Episode 406 Step 500: Training Loss 1.0950913429260254, Return 500.0
Episode 407 Step 483: Training Loss 1.144606351852417, Return 448.0
Episode 408 Step 231: Training Loss 1.0461961030960083, Return 466.0
Episode 409 Step 480: Training Loss 1.3515491485595703, Return 500.0
Episode 410 Step 329: Training Loss 0.8215907216072083, Return 500.0
Episode 411 Step 475: Training Loss 1.2142974138259888, Return 479.0
